iter	Passed	Remaining
0	0	679
1	1	666
2	1	656
3	2	631
4	3	606
5	3	599
6	4	596
7	4	589
8	5	588
9	6	596
10	6	611
11	7	610
12	7	599
13	8	590
14	9	591
15	9	599
16	10	597
17	11	601
18	11	596
19	12	594
20	12	589
21	13	592
22	13	590
23	14	590
24	14	584
25	15	589
26	16	585
27	16	581
28	17	576
29	17	572
30	18	569
31	18	564
32	19	560
33	19	556
34	20	554
35	20	554
36	21	551
37	21	549
38	22	545
39	22	542
40	23	540
41	23	537
42	23	533
43	24	531
44	24	529
45	25	529
46	25	526
47	26	524
48	26	521
49	27	520
50	28	522
51	28	522
52	29	520
53	29	521
54	30	519
55	30	519
56	31	518
57	31	518
58	32	522
59	33	521
60	33	519
61	34	519
62	34	518
63	35	520
64	36	522
65	37	525
66	38	529
67	38	531
68	39	531
69	39	530
70	40	532
71	41	534
72	42	535
73	42	534
74	43	532
75	43	530
76	44	528
77	44	528
78	45	528
79	45	527
80	46	529
81	47	530
82	47	529
83	48	527
84	48	526
85	49	525
86	50	526
87	50	527
88	51	528
89	52	527
90	52	527
91	53	525
92	53	526
93	54	525
94	55	524
95	55	526
96	57	531
97	57	531
98	58	529
99	58	528
100	59	528
101	59	526
102	60	526
103	61	527
104	61	527
105	62	525
106	62	523
107	63	522
108	63	521
109	64	520
110	64	520
111	65	521
112	66	521
113	66	520
114	67	518
115	67	517
116	68	515
117	69	516
118	69	515
119	70	513
120	70	512
121	70	510
122	71	511
123	72	511
124	73	513
125	74	515
126	74	514
127	75	513
128	76	514
129	76	513
130	77	512
131	77	510
132	78	509
133	78	508
134	79	507
135	79	506
136	80	505
137	81	506
138	81	506
139	82	505
140	82	503
141	83	502
142	83	501
143	84	500
144	84	500
145	85	500
146	86	500
147	86	499
148	87	498
149	87	497
150	88	495
151	88	495
152	89	494
153	90	494
154	90	493
155	90	491
156	91	491
157	92	492
158	92	491
159	93	490
160	94	490
161	94	489
162	95	488
163	95	488
164	96	488
165	97	487
166	97	487
167	98	486
168	98	486
169	99	485
170	99	484
171	100	484
172	101	484
173	101	483
174	102	482
175	102	481
176	103	480
177	103	479
178	104	478
179	104	478
180	105	478
181	106	478
182	106	477
183	107	475
184	107	474
185	108	473
186	108	472
187	109	471
188	109	471
189	110	472
190	111	471
191	111	470
192	112	470
193	112	469
194	113	468
195	114	467
196	114	467
197	115	468
198	116	468
199	116	467
200	117	466
201	117	465
202	118	463
203	118	463
204	119	462
205	119	462
206	120	462
207	121	461
208	121	461
209	122	460
210	122	458
211	123	458
212	123	457
213	124	456
214	124	456
215	125	455
216	126	455
217	126	455
218	127	454
219	127	453
220	128	452
221	128	451
222	129	450
223	130	451
224	131	451
225	131	450
226	132	450
227	132	449
228	133	448
229	133	447
230	134	447
