iter	RMSE
0	14.41053068
1	13.97163434
2	13.57479963
3	13.17856607
4	12.79378837
5	12.46375172
6	12.12812039
7	11.79341678
8	11.52580987
9	11.2207617
10	10.93189099
11	10.64406249
12	10.44069367
13	10.18302915
14	9.944432865
15	9.690263423
16	9.492651491
17	9.26941282
18	9.078521427
19	8.876694246
20	8.693812693
21	8.514388455
22	8.347401338
23	8.160057163
24	8.012597496
25	7.848416753
26	7.711494228
27	7.568055515
28	7.457723621
29	7.326531505
30	7.194640679
31	7.082331151
32	6.970192718
33	6.869797892
34	6.774617774
35	6.68434148
36	6.600581148
37	6.511051053
38	6.426532579
39	6.363678073
40	6.282585397
41	6.210133519
42	6.141498893
43	6.071723194
44	6.014025535
45	5.946291033
46	5.886132898
47	5.825496512
48	5.767655067
49	5.708718884
50	5.652892708
51	5.601414266
52	5.551446258
53	5.506225899
54	5.469292832
55	5.431980868
56	5.389868559
57	5.354827685
58	5.315301793
59	5.281792165
60	5.243710157
61	5.200430007
62	5.179665142
63	5.152749014
64	5.118599084
65	5.081589747
66	5.049154591
67	5.018518276
68	4.984829691
69	4.943534444
70	4.908944288
71	4.87460848
72	4.843698805
73	4.829706867
74	4.798016719
75	4.782222241
76	4.752334004
77	4.719002426
78	4.697971915
79	4.669749649
80	4.646247254
81	4.611399581
82	4.58631753
83	4.567636679
84	4.539919855
85	4.516111666
86	4.496966261
87	4.473447349
88	4.457686195
89	4.430534053
90	4.404047847
91	4.393275126
92	4.368897053
93	4.347529645
94	4.339129797
95	4.316447171
96	4.29615965
97	4.275509843
98	4.253668236
99	4.233766826
100	4.215363856
101	4.196483446
102	4.177062795
103	4.161254195
104	4.141634341
105	4.119295372
106	4.103286924
107	4.08250379
108	4.066946331
109	4.052653232
110	4.032730362
111	4.024855475
112	4.011574361
113	4.000734232
114	3.979819714
115	3.971402907
116	3.949074873
117	3.933328016
118	3.915680074
119	3.899380563
120	3.882777766
121	3.870579847
122	3.855165621
123	3.840602836
124	3.823531775
125	3.80657898
126	3.804047081
127	3.788874755
128	3.772172987
129	3.758030073
130	3.745871943
131	3.74265458
132	3.729416999
133	3.715334668
134	3.699682267
135	3.685058372
136	3.671609698
137	3.658547296
138	3.64269329
139	3.630144982
140	3.620162027
141	3.609649897
142	3.599993467
143	3.590315697
144	3.577402567
145	3.567976026
146	3.553066189
147	3.542351654
148	3.531776986
149	3.520345647
150	3.5072943
151	3.495571381
152	3.483853037
153	3.474098298
154	3.461736214
155	3.453204648
156	3.444415864
157	3.43369444
158	3.42352122
159	3.412533098
160	3.405496919
161	3.395135826
162	3.388801186
163	3.37185627
164	3.355514618
165	3.33947055
166	3.328771281
167	3.320161472
168	3.307582124
169	3.297835468
170	3.287566189
171	3.27649788
172	3.265568792
173	3.254367652
174	3.246562737
175	3.237889292
176	3.227800766
177	3.216417415
178	3.209325268
179	3.194411745
180	3.181529709
181	3.174183936
182	3.160035965
183	3.149940263
184	3.143645195
185	3.134801302
186	3.127747676
187	3.115469393
188	3.100111854
189	3.087361672
190	3.078791486
191	3.068544968
192	3.062065553
193	3.05559571
194	3.047806311
195	3.043043802
196	3.029891479
197	3.015587537
198	3.004599188
199	2.991747392
200	2.979739986
201	2.970757955
202	2.959993658
203	2.952090862
204	2.944135982
205	2.939255222
206	2.934834501
207	2.927784841
208	2.917414918
209	2.911986472
210	2.903068967
211	2.891713468
212	2.88596971
213	2.873783203
214	2.870733504
215	2.861953821
216	2.852632666
217	2.845369885
218	2.841590125
219	2.836520519
220	2.832895031
221	2.829377133
222	2.825151642
223	2.82029267
224	2.81512756
225	2.812319645
226	2.798139946
227	2.791196723
228	2.788827425
229	2.784984901
230	2.775710104
231	2.764869724
232	2.755904592
233	2.750827703
234	2.750635973
235	2.740524605
236	2.730809277
237	2.726988811
238	2.720615495
239	2.715284627
240	2.706057399
241	2.702266202
242	2.69798244
243	2.687370114
244	2.680074682
245	2.678720482
246	2.675508752
247	2.671957217
248	2.667370893
249	2.663461571
250	2.660687677
251	2.648249508
252	2.641801158
253	2.637343784
254	2.631891846
255	2.629854949
256	2.623753393
257	2.611084962
258	2.606315757
259	2.602761336
260	2.591490344
261	2.583868126
262	2.580707632
263	2.580536869
264	2.574366115
265	2.571634506
266	2.563323047
267	2.554727198
268	2.552707623
269	2.547802913
270	2.542822844
271	2.537292932
272	2.530227018
273	2.52061185
274	2.520480754
275	2.511838268
276	2.500471467
277	2.490080612
278	2.478249023
279	2.471848499
280	2.464226826
281	2.45208997
282	2.444756587
283	2.437912622
284	2.428947417
285	2.416990017
286	2.413531664
287	2.405764265
288	2.39971731
289	2.389768474
290	2.387950761
291	2.380277701
292	2.375038209
293	2.373826637
294	2.363170869
295	2.358851538
296	2.349794119
297	2.345354133
298	2.341002009
299	2.338179961
300	2.333165406
301	2.323510741
302	2.318661585
303	2.312780523
304	2.303671852
305	2.301502577
306	2.294098386
307	2.282891358
308	2.282665006
309	2.279849367
310	2.276684173
311	2.273726241
312	2.264347687
313	2.2576603
314	2.249635552
315	2.239598997
316	2.237592875
317	2.230979174
318	2.221112408
319	2.218759022
320	2.214973791
321	2.210255668
322	2.204094238
323	2.199123635
324	2.192049586
325	2.185579613
326	2.180094822
327	2.17750251
328	2.175285106
329	2.172405683
330	2.163130735
331	2.156406263
332	2.154774134
333	2.152717304
334	2.147972359
335	2.141770272
336	2.139576925
337	2.137333416
338	2.1330222
339	2.128613397
340	2.125752207
341	2.124602657
342	2.114575826
343	2.105272529
344	2.102044271
345	2.100779141
346	2.099014807
347	2.092303593
348	2.080498402
349	2.077711388
350	2.068581275
351	2.061044491
352	2.055216169
353	2.050393473
354	2.05029891
355	2.04349528
356	2.036490548
357	2.029176566
358	2.02222029
359	2.017238941
360	2.016764324
361	2.012328592
362	2.004834558
363	1.995759886
364	1.99084725
365	1.983650846
366	1.978244527
367	1.97182351
368	1.967877619
369	1.963329237
370	1.957223571
371	1.953613517
372	1.946601194
373	1.942847037
374	1.937945609
375	1.935887535
376	1.927482182
377	1.924138646
378	1.918064341
379	1.91591227
380	1.910390669
381	1.908479982
382	1.904836952
383	1.8973528
384	1.894772258
385	1.892001159
386	1.885984718
387	1.881217382
388	1.87830308
389	1.875168139
390	1.870144052
391	1.866958395
392	1.864165768
393	1.859143829
394	1.856921478
395	1.852410288
396	1.849861454
397	1.847407347
398	1.844297352
399	1.841049721
400	1.833836689
401	1.831247582
402	1.825832238
403	1.819632685
404	1.81138291
405	1.807855547
406	1.803201178
407	1.7963347
408	1.79375271
409	1.787894908
410	1.782514836
411	1.779180433
412	1.774769748
413	1.771658033
414	1.769107896
415	1.760346484
416	1.758511659
417	1.757195632
418	1.755360623
419	1.754021241
420	1.748247583
421	1.744706674
422	1.742896298
423	1.73910544
424	1.735945739
425	1.727453234
426	1.724232733
427	1.724182221
428	1.718175842
429	1.710778599
430	1.705761168
