iter	Passed	Remaining
0	10	21964
1	11	11852
2	14	9702
3	24	12179
4	27	11004
5	37	12522
6	48	13768
7	50	12462
8	55	12242
9	65	13091
10	66	12113
11	70	11629
12	96	14725
13	97	13766
14	99	13120
15	105	13043
16	106	12436
17	107	11829
18	117	12210
19	117	11648
20	127	12056
21	137	12397
22	147	12710
23	148	12223
24	149	11809
25	149	11385
26	152	11177
27	154	10885
28	164	11181
29	165	10886
30	166	10602
31	168	10332
32	173	10348
33	183	10639
34	194	10910
35	204	11158
36	215	11410
37	215	11129
38	216	10889
39	216	10630
40	217	10412
41	227	10623
42	237	10831
43	248	11029
44	249	10848
45	259	11036
46	270	11258
47	282	11492
48	293	11667
49	294	11500
50	305	11660
51	315	11815
52	325	11975
53	326	11772
54	327	11569
55	327	11370
56	333	11367
57	334	11200
58	345	11368
59	346	11212
60	356	11340
61	366	11467
62	367	11298
63	368	11141
64	378	11269
65	388	11388
66	398	11509
67	408	11615
68	419	11737
69	429	11840
70	440	11974
71	452	12107
72	462	12207
73	463	12052
74	472	12139
75	473	11986
76	483	12086
77	496	12225
78	502	12227
79	513	12329
80	519	12298
81	529	12378
82	539	12455
83	549	12537
84	559	12609
85	569	12672
86	579	12741
87	589	12807
88	599	12871
89	610	12945
90	620	13018
91	621	12885
92	631	12949
93	641	13013
94	642	12893
95	653	12958
96	663	13023
97	673	13078
98	684	13152
99	697	13246
100	707	13310
101	718	13363
102	728	13414
103	738	13465
104	748	13508
105	758	13552
106	768	13592
107	778	13631
108	788	13676
109	798	13719
110	809	13775
111	810	13666
112	820	13704
113	822	13604
114	833	13658
115	836	13580
116	846	13616
117	857	13673
118	868	13720
119	878	13763
120	890	13827
121	901	13875
122	911	13914
123	923	13968
124	933	14007
125	944	14051
126	945	13940
127	955	13980
128	967	14027
129	977	14067
130	989	14112
131	990	14011
132	1000	14047
133	1011	14088
134	1022	14126
135	1033	14166
136	1043	14193
137	1054	14226
138	1064	14252
139	1075	14290
140	1086	14324
141	1097	14365
142	1108	14398
143	1119	14423
144	1129	14452
145	1140	14479
146	1150	14501
147	1160	14525
148	1170	14544
149	1180	14563
150	1190	14581
151	1201	14606
152	1212	14632
153	1223	14661
154	1233	14677
155	1243	14699
156	1253	14719
157	1263	14733
158	1273	14746
159	1284	14771
160	1294	14784
161	1305	14810
162	1330	14992
163	1341	15016
164	1351	15026
165	1361	15040
166	1371	15051
167	1380	15059
168	1391	15072
169	1401	15083
170	1410	15091
171	1421	15106
172	1431	15114
173	1441	15129
174	1451	15136
175	1461	15145
176	1471	15152
177	1481	15161
178	1491	15170
179	1501	15182
180	1513	15210
181	1524	15230
182	1535	15242
183	1545	15256
184	1556	15270
185	1566	15276
186	1576	15282
187	1586	15286
188	1596	15297
189	1606	15303
